Brand,Color_Group,Stars,Num_Ratings,Num_Reviews,RAM,Storage,Expandable,Processor_Brand,Display,Total_Cameras,Battery_Capacity,Price
vivo,Black,4.6,353,60,8 GB RAM ,256 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.78,4,4600.0,39999
realme,Green,4.2,87,6,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,2,5000.0,8698
Infinix,Green,4.0,4697,409,8 GB RAM ,128 GB ROM,Expandable Upto 256 GB,Unisoc processor,6.6,2,5000.0,11499
SAMSUNG,Green,4.0,324,17,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.5,1,5000.0,12583
POCO,Yellow,4.2,76042,7634,6 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.67,4,5000.0,15999
vivo,Yellow,4.3,1566,92,3 GB RAM ,32 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.51,3,5000.0,9999
realme,Other,4.5,13214,1298,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.7,4,5000.0,24999
Infinix,Blue,4.2,4253,469,8 GB RAM ,256 GB ROM,Expandable Upto 2 TB,Mediatek processor,6.7,3,5000.0,14999
realme,Other,4.5,13214,1298,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.7,4,5000.0,24999
realme,Blue,4.5,13214,1298,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.7,4,5000.0,24999
OnePlus,Blue,4.3,4000,353,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.59,1,5000.0,21998
realme,Blue,4.3,207284,11041,4 GB RAM ,64 GB ROM,Expandable Upto 256 GB,Other processor,6.5,2,5000.0,8999
